2;8.7E+22;Tue May 30 18:16:08 +0000 2017;@Estadao @jdoriajr Ativista nem é gente mesmo.;232695523;#NOME?;paulocnf;2096;Melmac;pt
2;8.7E+22;Tue May 30 18:16:09 +0000 2017;@AgoraNoPlanalto @MichelTemer Isso mesmo @micheltemer , deixe o Joesley com ciúmes ...Chama o @Noblat, da ultima ve… https://t.co/agY85LsWZr;2554343171;Rodrigossauro;coa_rodrigo;42;;pt
2;8.7E+22;Tue May 30 18:16:10 +0000 2017;Derrubaram @dilmabr para desestabilizar o país. https://t.co/m4PVH8bLrJ;8E+22;Jurandi.Brito;JurandiBrito27;29;;pt
1;8.7E+22;Tue May 30 18:17:21 +0000 2017;@jdoriajr @MahggaSantana Sou sua fã queria que vc fosse prefeito da minha cidade....me segue vai....;2515854662;Roh Barbi;ro_barbi;359;Maringá, Brasil;pt
2;8.7E+22;Tue May 30 18:19:40 +0000 2017;"@Fernandomullen @jdoriajr Não vai conseguir, ""forças ocultas,"" a esquerda, togada ou não, precisam desse miserável cartão postal da cidade.";7.94E+22;Dirce L.;Dilorimier;4;;pt
1;8.7E+22;Tue May 30 18:19:49 +0000 2017;HAHAHAHAAHHA Claro...sim...em perfeita ordem ?? https://t.co/bs4AmL4ptN;1112276700;Poor In Spirit;Bruno_Brusch;59;;pt
1;8.7E+22;Tue May 30 18:19:53 +0000 2017;@deivisoncruz @AgoraNoPlanalto @MichelTemer Boa;3087290168;Kleber Pereira;KleberKsp;424;Vila Velha, Brasil;pt
2;8.7E+22;Tue May 30 18:19:56 +0000 2017;@spromiseland @JFCC__ @FahelR @VILSON1966 @InesBolsonaro @MarceloRichterM @jairbolsonaro @DaniloGentili Aposto que seu pai tw abandonou!;3297913749;Crítico da Política;criticopolitica;60;Planeta Terra;pt
1;8.7E+21;Tue May 30 18:21:00 +0000 2017;"RT @caiforatemer: Amigos, vamos todos dar aquela salva de palmas ao ""jestor"" @jdoriajr. Deem RT para divulgar o ""milagre"" que ele fez. http…";308789332;LG ??;Petkovic10e43;1167;Ho Chi Minh;pt
1;8.7E+21;Tue May 30 18:22:20 +0000 2017;"RT @caiforatemer: Amigos, vamos todos dar aquela salva de palmas ao ""jestor"" @jdoriajr. Deem RT para divulgar o ""milagre"" que ele fez. http…";617171715;Ronaldo Matias;RonaldoMatiasP;2916;Goiânia - Goiás - Brasil;pt
1;8.7E+21;Tue May 30 18:22:30 +0000 2017;RT @Mestre_Tigresa: #TodoApoioAoJuizSergioMoro @SakaSakamori2 @sandrabrasilia @N_Carvalheira @BattistaTania @aruthcao @BolsomitA… ;2805804200;SakaSakamori BR;SakaSakamori2;9737;Curitiba - Rio de Janeiro;pt
2;8.7E+21;Tue May 30 18:22:35 +0000 2017;Não voltaram a ser eleitos estão FDIDOS..KKKK https://t.co/x6dTitCxCV;8.02E+22;Roberto Pobre;Roberto2016rodr;1790;Rio de Janeiro, Brasil;pt
2;8.7E+21;Tue May 30 18:22:39 +0000 2017;?? #VazaTemer FURNAS é aquele processo parado no @STF_Oficial onde até o @jairbolsonaro recebeu mensalão do @PSDB https://t.co/mHCTl5SHUo;57920435;#VazaTemer;VazaTemer;12173;Brasil;pt
1;8.7E+21;Tue May 30 18:23:41 +0000 2017;"RT @JuMagalhaesBH: ""Sorria pro print"" HAHAHAHAHAHAAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAAVAI APRENDER PORTUGUÊS PRIMEIRO, seu jum… ";2750584459;JoseCarlosScud;caiojcs;256;Entre o rio e o planalto.;pt
1;8.7E+21;Tue May 30 18:23:49 +0000 2017;@MichelTemer Parabéns ao Presidente e sua equipe, por promover a maior, melhor e mais audaciosa mudança econômica n… https://t.co/AK0FEFtl35;158461823;Fabio Bulhosa;Fabiobulhosa;149;Rio Grande RS Brasil;pt
2;8.7E+22;Tue May 30 18:24:30 +0000 2017;@LUCIANO_DAVID @AecioNeves Primeiro aprenda a escrever e depois venha discutir.;2570287572;Eduardo Salles;EduardoSalles01;115;Via Láctea;pt
1;8.7E+22;Tue May 30 18:27:18 +0000 2017;Parabéns @jdoriajr Atitude de quem quer fazer a diferença. https://t.co/tyNUecDrqk;117133521;João Paulo Lombardi;duendetende;21004;São Paulo;pt
1;8.7E+22;Tue May 30 18:28:59 +0000 2017;"RT @caiforatemer: Amigos, vamos todos dar aquela salva de palmas ao ""jestor"" @jdoriajr. Deem RT para divulgar o ""milagre"" que ele fez. http…";7.79E+22;Maria Eduarda??;MariaEd07812623;519;Juiz de Fora, Brasil;pt
2;8.7E+22;Tue May 30 18:29:25 +0000 2017;RT @CacoBrasil2: Que SAUDADE da Presidenta @dilmabr ! Desemprego, que sobe em todas as regiões, e subocupação atingem 26,5 milhões https://…;431237786;@pnlima;PiLima11;1523;Da Cerca;pt
1;8.7E+22;Tue May 30 18:29:40 +0000 2017;"RT @caiforatemer: Amigos, vamos todos dar aquela salva de palmas ao ""jestor"" @jdoriajr. Deem RT para divulgar o ""milagre"" que ele fez. http…";7.2E+22;A.Rosa;a_rosa555;280;;pt
